newtimestamp,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH),March(2-8),March(9-15),March(16-22),March(23-29),March(30) – April(5),April(6-12),April(13-19),April(20-26),April(27) – May(3),May(4-10),May(11-17),May(18-24),May(25-31)
11/7/19 6:00,41,40,41,40,61.5,118.7,27.3,45.1,112.5,53.7,40.1,21.9,35.2,16.1,11.7,36.1,39.3
11/7/19 6:15,41,40,41,40,65,106.8,35.3,46.5,121.5,89.4,36.7,22.9,45.5,15.3,12.1,37,41.9
11/7/19 6:30,42,39,42,39,78.8,116.6,41.8,52.6,136,97.4,31.6,24.6,69.6,19.9,15.3,45,41.6
11/7/19 6:45,42,39,42,39,79.2,120.5,42.2,52.1,153.2,105.7,34.1,26.4,64.4,26.5,19.2,48.3,40.2
11/7/19 7:00,42,39,42,39,83.5,110,43.9,46.4,166.3,113.9,44.4,31.9,76.6,25.7,22.3,41.6,45.2
11/7/19 7:15,42,39,42,39,91.7,114.7,43.3,50.4,165.5,112.6,74,27.4,73.1,49.8,32.9,39.1,37.7
11/7/19 7:30,41,40,41,40,68.1,109.5,40.7,53.2,195.5,101.4,55.7,26.7,73.1,26.7,27.5,38.9,42.7
11/7/19 7:45,42,39,42,39,66,118.7,36.8,52.7,181.3,74.3,41.5,26.9,39.3,25.1,29,37.5,30.4
11/7/19 8:00,42,39,42,39,63.6,111.4,35.8,56.5,99.7,71.5,30.7,26.8,42.5,29.7,40.9,34.2,28.6
11/7/19 8:15,42,39,42,39,74.4,101.2,30.9,59.3,78.5,67.6,44.3,26.7,55.4,33.5,57.6,42.2,35.7
11/7/19 8:30,42,39,59,28,68.4,108.2,25.2,68.9,73.1,63.5,41.2,26.8,36.2,23.3,76.9,41.4,53.2
11/7/19 8:45,41,40,55,30,42.5,109.7,24.9,73.8,74.5,61.8,44.1,28,53.2,21.4,42.3,43.6,66
11/7/19 9:00,41,40,55,30,44.1,67.6,24.3,49.7,70.3,67.7,33,25.2,40.2,25.2,37.4,37.2,55.1
11/7/19 9:15,41,40,53,31,55.2,79.4,24.5,40.3,86.1,68.5,30.8,21.3,34.8,23.6,37.7,37.4,53
11/7/19 9:30,42,39,53,31,58.1,69.6,25.3,35.1,95.6,61.8,30.5,18.4,42,24.1,33,38.3,40.8
11/7/19 9:45,41,40,55,30,46,70.3,26,35.9,72.6,52.4,28.9,18.5,32.2,21.4,48.3,37,30.2
11/7/19 10:00,41,40,51,32,44.2,66.2,25,27.7,62.4,44.7,29,20.9,39.3,21.8,66.7,34.4,27.2
11/7/19 10:15,41,40,71,23,34.8,54.5,27.4,36.8,30.8,38.2,26.3,51,40.2,19.2,55.2,35.1,28.5
11/7/19 10:30,41,40,66,25,32.3,43.7,24.3,44,33.4,38,21.7,31.8,39.6,18.8,56.3,38.8,29.2
11/7/19 10:45,41,40,41,40,25.2,52.8,21.9,33.2,32.4,32.4,20.8,33.6,43.1,24,55.1,39.8,28.8
11/7/19 11:00,41,40,55,30,21.3,57.7,20.4,34.3,27.4,35.3,24.6,32.6,50.6,24.6,47.5,32.7,21
11/7/19 11:15,41,40,63,26,19.3,64.9,18.5,35,40.5,26,21.4,63.5,41.1,23,43.7,28.4,22
11/7/19 11:30,41,40,56,29,29.1,41.9,18.5,33,36.5,25.2,19.4,42.4,41.2,25.4,42.9,24.9,17.1
11/7/19 11:45,42,39,75,22,24.5,36.3,16,23.4,26,23.6,19.3,44.3,57.4,26.1,43.5,31.6,18.3
11/7/19 12:00,41,40,63,26,19.8,32.4,16.1,25.7,25.5,28.4,21.8,41.9,54,24,48.4,33.8,15.6
11/7/19 12:15,41,40,71,23,26.7,32.3,15.1,22.8,23.9,25.3,27.5,44.1,51.2,34.5,48.2,22.9,11.6
11/7/19 12:30,41,40,53,31,29.5,30.8,13.5,22,24.2,26.8,23.6,31.9,44.3,27.7,32.8,24.7,10.3
11/7/19 12:45,41,40,41,40,21.9,29,14.4,21.1,22,28.3,29.6,33.6,42.5,26.7,25.9,24.6,17
11/7/19 13:00,41,40,66,25,19.5,27.6,14.8,22.1,15.3,27,18.6,25.3,40.4,22.4,30.4,24.1,13.6
11/7/19 13:15,41,40,51,32,19.4,27.7,14.9,14.4,15.1,23.9,19.5,26.1,50,23.5,22.5,17.4,24.7
11/7/19 13:30,40,41,91,18,22.7,27.6,18.1,17.7,24.3,25.6,26.8,31.7,49.8,27.9,27.7,29.1,18
11/7/19 13:45,42,39,75,22,24.9,23.9,14.7,28.3,18.3,24.4,16.2,31.3,39.7,27.3,26.1,21.3,16.5
11/7/19 14:00,42,39,59,28,31.5,22.7,12.6,25.8,18.3,19.8,13.8,24.7,40.7,25.7,24.3,16.6,21.3
11/7/19 14:15,42,39,66,25,23.2,22.7,10,35.5,26.4,15.5,12.8,32.1,36.6,27.7,19.3,23.7,17.7
11/7/19 14:30,42,39,63,26,19.8,31.9,9.9,27.1,17.7,20.7,17.4,35.3,40,26,23.6,17.8,17
11/7/19 14:45,42,39,75,22,16.2,25.9,10.6,26.8,16.8,24,31.9,36.9,69.2,26.4,23.6,24.4,17.9
11/7/19 15:00,41,40,71,23,23,30.7,13.4,17.7,19,25.9,20.7,22.8,46.3,25.6,21,22.9,19.1
11/7/19 15:15,42,39,118,14,21.2,31,10.7,20.5,19.7,28.4,14.4,14,58.5,18.4,24.7,14.8,17.1
11/7/19 15:30,42,39,82,20,17.6,34.6,10.6,19.2,20.5,31.6,18.8,10.9,43.4,NaN,20.2,17.4,20.4
11/7/19 15:45,41,40,75,22,15.6,30,12.4,17.6,22.4,22.3,13.9,17.5,40.7,NaN,19.1,25.5,18.8
11/7/19 16:00,42,39,42,39,24.4,28.1,12,19.6,21.5,21.8,13.2,19.6,47.5,31.9,21.1,21.8,22.6
11/7/19 16:15,42,39,55,30,22.4,35.8,12.7,20.4,22.8,24.4,18.1,25.5,36.2,43.1,25.8,27.3,21.5
11/7/19 16:30,41,40,71,23,26,24.8,12.4,24,26.2,30.3,16.9,39,65.3,38.2,22.3,27.7,26.8
11/7/19 16:45,41,40,53,31,24.4,32.4,14.5,30.6,26.9,28,16.4,37.9,49.7,51,24.2,23.2,19.3
11/7/19 17:00,42,39,59,28,22,36.5,15.3,42,24.1,33.2,19.9,45.4,34.1,44.3,25.6,45.8,22.3
11/7/19 17:15,42,39,59,28,22.1,31.7,15.5,26.8,25.6,37.9,21,38.6,55,69.1,27,48.9,27
11/7/19 17:30,42,39,86,19,26.7,31.8,15.1,26.6,32.8,37.1,19.6,49.7,33,67.2,21.6,37.5,32.6
11/7/19 17:45,41,40,41,40,34,38.6,19.4,24.9,34.4,37.9,18,47.1,42.4,90.5,26.8,43.2,27.2
11/7/19 18:00,41,40,56,29,37.9,53.8,16,35.6,37.1,33.5,24.4,42.4,25.6,103.8,29.8,36.8,31.4
11/7/19 18:15,41,40,68,24,47.5,44.4,18.5,51.4,36.3,41.9,20.9,34.9,20.1,96.3,40.1,16.5,42.8
11/7/19 18:30,41,40,59,28,61.5,45.9,23,61.6,49.6,40.3,23.2,37.1,18.1,96.6,44.1,13.5,52.1
11/7/19 18:45,41,40,68,24,64.9,45.9,21.4,78.7,67,46.3,38.4,33.6,37.1,85.6,46.3,29.7,60.1
11/7/19 19:00,42,39,59,28,73.6,50.8,24.9,91.4,93.7,55.2,45,37,42.4,97,59.2,35.9,75.8
11/7/19 19:15,41,40,75,22,87.1,61.7,31.3,92.2,104.3,65,54.3,55.8,52.8,130.4,62.9,44.5,78.5
11/7/19 19:30,42,39,61,27,92.3,115.6,30.9,100.7,109.7,88.8,51.3,49.9,50.7,176.5,74.8,44.9,97.8
11/7/19 19:45,41,40,97,17,104.2,96.6,40.6,139.3,122,91,55.8,48.6,45.7,174.1,96.4,73.3,127
11/7/19 20:00,41,40,71,23,118.5,95.9,42.9,130.3,115.2,91.1,51.4,51.4,75.5,160.6,101.3,63.2,162.1
11/7/19 20:15,41,40,78,21,147.2,91.8,43.4,128.1,119.1,106.3,48.7,61.5,75.4,157.5,118.3,48.1,189.8
11/7/19 20:30,41,40,66,25,128.8,93.2,41.9,130,127,109.9,51,76.3,57.1,153.2,126.9,53.6,185.8
11/7/19 20:45,42,39,68,24,141.1,86.9,32.5,147.1,163.2,118,51.5,67.3,50.8,151.8,153.7,46.1,180.9
11/7/19 21:00,42,39,78,21,151.5,91.9,34,160.4,144.9,115.4,53.2,87.1,55.1,175.4,179.2,61.5,177.6
11/7/19 21:15,42,39,68,24,152.4,82.4,35.3,201.4,129.4,103.9,61.9,79,61.4,170.1,177.9,64.9,163.1
11/7/19 21:30,42,39,59,28,146.1,71.9,36.5,240.5,116.3,94.6,63.3,83.2,53.3,146.4,172.7,76.5,169.5
11/7/19 21:45,41,40,41,40,136.2,86,34.2,266.2,93.5,87.1,67.6,69,49.1,132.1,157.9,70.5,185.2
11/7/19 22:00,41,40,41,40,109.9,74.1,35.6,285,100.9,67.2,66.2,85.4,33.6,127.6,139.7,90.7,185.6
11/7/19 22:15,41,40,41,40,87.1,68.2,37.7,264.6,102.2,59.7,64,94.1,30.1,120.7,175.7,96,183.7
11/7/19 22:30,41,40,41,40,73.8,63.2,39.9,243.4,86.1,60.8,57.4,85.9,31.2,114.8,164.9,109.4,186.5
11/7/19 22:45,42,39,42,39,69.7,68.5,37.7,260.3,79.7,59.5,53.4,76.3,40,115.5,170.7,74,181.8
11/7/19 23:00,42,39,42,39,65.8,116.9,32.1,290.5,78.9,54.5,67.1,86.7,34.8,92,175.6,81.5,167.3
11/7/19 23:15,42,39,42,39,53.9,126.5,38.1,305.1,73.9,54.1,71.4,116.8,24.9,87.5,169.8,95.7,162.6
11/7/19 23:30,42,39,42,39,51.4,128.2,34.8,303.1,66.3,54.2,76.2,123.2,25.1,85.3,172.7,76.1,155.5
11/7/19 23:45,42,39,42,39,57.7,125.5,30.5,301.4,66.4,60.2,89.7,119.5,32.5,74,191.2,68.4,148.6
11/7/19 23:55,42,39,42,39,79.1,132.1,30,300.8,66,59.4,88.3,115,34.9,62,179,58.3,151.7
12/7/19 0:10,42,39,42,39,81.8,135.6,29.9,293.8,66.3,50,80.4,101.5,41.8,50.1,177,54.2,103.4
12/7/19 0:25,42,39,42,39,77.1,154.2,28.6,251.2,68.4,46.2,64.9,120.6,34.5,46.5,169.4,57.4,44.6
12/7/19 0:40,42,39,42,39,75.4,174,18.3,219.8,69.4,36.3,59.7,136.3,16.2,45.9,155.8,60.4,23.7
12/7/19 0:55,42,39,42,39,75.1,166.5,18.5,198.3,69.6,29.1,59.3,138.5,14,45,152.3,63.2,18.6
12/7/19 1:10,42,39,42,39,80.4,147.5,18.5,189.4,71.6,31.3,67.5,151.1,14.5,42.8,146.8,61.6,15.7
12/7/19 1:25,42,39,42,39,88.3,122.3,16.1,185.3,73.7,31.1,66.8,158.5,19.9,42.1,144.4,57.4,16.1
12/7/19 1:40,42,39,42,39,84.9,86.3,17.3,170.3,76.9,30.1,59,151.6,20.7,44.5,178.5,55.9,20.2
12/7/19 1:55,42,39,42,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,205.5,64.4,33.4
12/7/19 2:10,42,39,42,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,251.1,70.4,44
12/7/19 2:25,42,39,42,39,86.9,46.9,12.8,128,119.6,33.5,36.4,65.6,16.4,32,228.2,65.4,38.3
12/7/19 2:40,42,39,42,39,111.6,47.6,16.1,132.1,134.7,34.6,46.5,56.5,21.5,29.3,181.7,67.2,31.6
12/7/19 2:55,42,39,42,39,107.9,49.1,20.2,126,163.8,32.6,46.4,46.5,24.4,29.2,163.2,70.2,28.8
12/7/19 3:10,42,39,42,39,95.1,48.5,23.9,125,178.2,27.3,41.7,47.1,24.6,29,147.8,71.7,23.2
12/7/19 3:25,42,39,42,39,72.9,47.2,26.3,130.5,195.2,23.8,42,50.8,23.8,28,111.7,72.3,20
12/7/19 3:40,42,39,42,39,60.9,45.8,24,136.6,193.8,24.7,45.3,53.1,33.2,25.9,80.3,73,21.3
12/7/19 3:55,42,39,42,39,51.4,46.1,21.7,140.9,194,23.4,54.8,52.5,31.1,28.1,65.2,78.2,21.4
12/7/19 4:10,42,39,42,39,44,48.5,21.9,148.7,196.1,19.8,57,53.6,51.5,30.2,57.9,90.9,19.6
12/7/19 4:25,42,39,42,39,40.9,48.1,23,164.1,202.6,15.6,56.2,57.9,67.6,29.2,55.9,89.4,18.4
12/7/19 4:40,42,39,42,39,38.8,47.8,24.8,174.9,208.3,13.7,42.2,57,72.5,21.5,51.3,87.3,17
12/7/19 4:55,42,39,42,39,37.8,54.8,25.7,202.2,215.2,12.6,41.3,57,70.5,16.5,34.9,83.1,16.4
12/7/19 5:10,42,39,42,39,37,47.3,21,211,220.1,12.1,47.1,57.1,71,16.9,23,80.5,18.2
12/7/19 5:25,42,39,42,39,40,44.4,20,209,221.5,10.9,51.9,55.8,88.8,20.2,19.8,73.5,18.1
12/7/19 5:40,42,39,42,39,50.2,41.6,20.5,202.9,221.8,10.6,56.1,59,86.9,19.6,17.9,71.5,19.4
12/7/19 5:55,42,39,42,39,74.5,44.1,21.5,185.8,221.3,11.4,46.1,58.7,55.5,22.5,19.1,83.5,26.8
12/7/19 6:10,42,39,42,39,90.5,65.6,22.1,177.8,224.2,14.8,44.2,61.3,53.7,26.7,14.3,79.5,25.2
12/7/19 6:25,42,39,42,39,69.9,68.2,29.1,182.2,228.6,17.9,48.3,72.9,59.1,37,14.1,78,32
12/7/19 6:40,42,39,42,39,96.1,65.3,38.7,212.3,232.7,25.5,44.6,77.7,110.7,68.6,19.5,73.8,35.6
12/7/19 6:55,42,39,42,39,85,56.6,34.6,228.3,240.6,34.9,46.7,74.3,105,80.4,22.7,46.1,38.6
12/7/19 7:10,42,39,42,39,143.1,60.4,33.3,232.6,230.8,42.3,47.1,72.5,91.5,106,19.9,37.3,37.9
12/7/19 7:25,42,39,42,39,231,53.2,33.3,213,174.4,39.7,48.1,71.4,62.8,74.3,27.5,33.3,37.5
12/7/19 7:40,42,39,42,39,237.5,59.2,30.3,193.5,139.9,36.5,46.5,64,47.4,58.8,31.6,24.6,38
12/7/19 7:55,42,39,42,39,215.4,54.6,36.9,206.5,126.2,62.5,46.1,61.1,72.7,55.5,30.1,24.5,33.4
12/7/19 8:10,42,39,42,39,186.2,50.3,30.4,189,86.5,82.3,45.3,63.6,54.8,48.3,29.4,23.4,28.5
12/7/19 8:25,42,39,42,39,127.8,38.1,29.5,135.6,107.6,75,43.9,60.4,53.9,46,25,20.2,32
12/7/19 8:40,42,39,42,39,101.5,32.4,28.4,84.2,103.1,68.3,44.1,54.5,46.2,38.8,32.4,26,30.1
12/7/19 8:55,42,39,55,30,85.4,33.6,30.5,68.3,89.1,39.4,39.4,41.7,36.2,38,27.5,21.2,24.3
12/7/19 9:10,41,40,55,30,60,31.1,31.2,70.3,74.7,29.7,31.1,35,34.8,33.1,27.5,19.8,24.1
12/7/19 9:25,41,40,71,23,51.5,33.6,24.2,61.8,74.3,29,26.9,34.8,36.4,24.9,23.4,18.2,25.3
12/7/19 9:40,41,40,41,40,44.3,33.5,25.9,46.2,69.8,28.4,23.9,29.9,42.3,31.1,25.7,18.5,22.3
12/7/19 9:55,41,40,55,30,36.6,34.4,23.6,51.2,56.8,25.6,25.9,35.9,33.3,32.4,18.6,17,19.4
12/7/19 10:10,42,39,42,39,35.8,28.6,21,55.5,57.5,25.2,19.4,28.4,32.8,43,19.4,19.4,24.5
12/7/19 10:25,41,40,59,28,35.5,26.3,22.1,60.2,64.3,26.8,18.7,31.5,45.1,44.5,20.6,19.1,27.1
12/7/19 10:40,42,39,71,23,26.8,28.5,25,53.9,62.3,25.1,20.4,30.5,33.8,69.2,17.9,21.7,29.9
12/7/19 10:55,41,40,41,40,26.2,27.9,21.6,36.6,38.6,22.9,19.1,30.7,47.6,46.6,18.9,21.9,22.8
12/7/19 11:10,42,39,53,31,25.9,21.5,20.9,27.5,31.4,29.2,15.3,24.4,31.6,30.3,18.7,23.6,23
12/7/19 11:25,42,39,63,26,44.1,21.5,21,27.6,33.3,29.4,13.5,26.7,36.8,40.2,30,25.1,20.1
12/7/19 11:40,42,39,59,28,28.8,23.4,22,33.7,31.5,19.4,15.8,32.5,51,35.8,19.5,24,26.8
12/7/19 11:55,41,40,41,40,31.9,28.4,25,34.1,37.1,30.2,15,24.5,41.8,44.2,NaN,26.7,27.2
12/7/19 12:10,41,40,66,25,30.1,27.4,18.9,22.1,39.3,23.1,11.1,25.4,32.8,24.3,NaN,25.2,21.6
12/7/19 12:25,42,39,66,25,26,22.6,17.1,29,58.2,17.6,19.4,23.4,38.8,26.3,NaN,22.1,19.2
12/7/19 12:40,41,40,68,24,35.9,23.6,17,32.2,34.2,29.5,12.6,17.1,31.1,28.9,NaN,24.3,25.1
12/7/19 12:55,42,39,110,15,21.7,21.1,17.5,31,31.1,17.4,12.7,20.7,27.1,28.4,NaN,33.8,21.2
12/7/19 13:10,42,39,75,22,29.7,21.7,19.6,27.6,33.4,22.7,9.6,23.5,37.9,26.4,NaN,30.6,18.7
12/7/19 13:25,42,39,61,27,28.8,22.5,16.9,26.4,45.1,18.2,17,26.6,32.8,31.6,NaN,32.5,27.9
12/7/19 13:40,41,40,63,26,28.1,27.3,25.6,24.2,33.4,26,11.8,13.9,39.3,33.9,NaN,36.3,26.1
12/7/19 13:55,41,40,41,40,22.1,25.2,16.3,19,27.1,22.8,10.4,25.9,20.9,49.2,NaN,36.5,14.7
12/7/19 14:10,42,39,71,23,23.5,27.2,18.1,21.3,25.1,21.7,10.7,36.7,23.4,33.4,NaN,28.4,32.4
12/7/19 14:25,41,40,86,19,31.2,24.3,19.6,26.5,29,20.9,11,29.9,40.1,25.9,NaN,21.7,23.6
12/7/19 14:40,43,38,150,11,30.2,36.1,16.5,23.5,48.7,24.5,10.1,27,39.6,21.6,NaN,20.1,44.2
12/7/19 14:55,41,40,75,22,30.8,21.2,15.6,19.9,35.9,29.7,9.7,27,23.8,29.3,NaN,19.5,30.1
12/7/19 15:10,41,40,41,40,25.6,22.8,17.6,29.8,34,22.2,15,14,28.8,22.3,NaN,21.2,None
12/7/19 15:25,42,39,53,31,25.6,22.9,14.4,23.5,26.9,20.7,11.9,25.6,24.6,27.2,NaN,25.9,None
12/7/19 15:40,41,40,61,27,34.7,18.7,19.6,19.8,30.2,19.4,9,24.2,33.2,17.8,NaN,21.2,None
12/7/19 15:55,42,39,59,28,28.8,21.2,15,25.6,36,18.6,8.6,33.1,29.2,23,NaN,22.2,None
12/7/19 16:10,41,40,55,30,27.4,23.6,18.2,29.2,24.4,15.8,12,32.3,21.9,21.3,NaN,21.9,None
12/7/19 16:25,41,40,63,26,35,24,19.2,35.3,28.4,19.7,11.5,21.2,62.5,21.2,NaN,27.1,None
12/7/19 16:40,41,40,55,30,25,24.1,16.9,38.7,34.3,24.8,19.4,23.1,59.2,34,NaN,22.5,None
12/7/19 16:55,42,39,59,28,33.7,24.3,16.4,32.2,27.3,22.2,11.6,27.5,33,33.6,61.2,21.7,None
12/7/19 17:10,41,40,66,25,34,23.4,13.9,32.6,26.4,25.3,11.1,30.9,33.4,23.7,66.5,20.7,None
12/7/19 17:25,41,40,68,24,37.5,22.3,16.3,29.1,28.4,20.2,13,32.4,48,33.5,49.2,28.9,None
12/7/19 17:40,41,40,68,24,46.6,21.8,31.3,33.1,46.9,20.5,16.4,31.7,42.2,30.9,58.8,23.9,None
12/7/19 17:55,42,39,68,24,43.9,24.8,22.6,34.6,44.1,24.6,16.1,32.2,22.2,39.4,64.2,27.3,None
12/7/19 18:10,41,40,78,21,49.3,30.1,21.9,40,55.7,28.2,15.8,42.1,23.2,53.1,58.1,31.8,43.1
12/7/19 18:25,41,40,41,40,58,33.6,29,57.2,73,31.1,20.4,46.8,25.2,72.9,50.5,32.6,51.5
12/7/19 18:40,42,39,71,23,61.1,44.1,26.9,67.3,80.6,41,20,55.5,23.4,80.3,50.7,31.2,59.3
12/7/19 18:55,41,40,56,29,73.1,50,37.6,76.9,90.3,40.1,22.6,76.3,25.2,43.6,93,43,80.2
12/7/19 19:10,41,40,41,40,73.9,52.9,37.8,73.9,124.2,46.5,22.7,70.2,32.4,47.1,78.1,39.7,60.1
12/7/19 19:25,0,0,0,0,98.1,51.2,38.1,90.5,129.8,53.1,28.4,70.8,28.7,53.7,89.1,39.7,67.7
12/7/19 19:40,41,40,63,26,110.1,49.4,39.9,100.5,154.3,63.4,34.2,69.2,31.6,43.6,71.4,43.7,86.1
12/7/19 19:55,41,40,63,26,117.4,53.9,42.5,112.9,165.4,70.2,35.3,76.8,38.7,55.1,68.2,58.3,108.5
12/7/19 20:10,42,39,59,28,106.5,56,48.3,134.5,180.2,74.8,36.1,103.8,42.2,58.7,64.5,62.1,107.3
12/7/19 20:25,42,39,71,23,104,60.3,49.8,150.4,161.3,78.7,37.1,106.3,50.1,58.6,86.1,63.4,104.6
12/7/19 20:40,42,39,59,28,90.9,56.5,50.1,135,157,74.3,38.7,97.2,58.3,60,63.5,69,105
12/7/19 20:55,41,40,75,22,88.6,51.6,49.1,124.8,153.4,61.9,36.6,104.3,77.3,64.8,17.4,74.2,121.2
12/7/19 21:10,42,39,97,17,83,52.8,49.8,110.6,121.1,55.8,38.2,109.8,69.9,70.2,15.6,76.6,132.9
12/7/19 21:25,41,40,110,15,70.1,59.8,49.9,101.3,97,58.4,38.3,111.2,70,118.8,14,78.1,130
12/7/19 21:40,42,39,53,31,67.6,57.3,48.5,88.9,110.9,59,39.2,103,74.4,165.8,19.7,92.1,127.3
12/7/19 21:55,41,40,55,30,68.2,52.6,38,85.8,116.7,72.1,40.4,93.2,115.1,91.2,38.5,83.4,213.3
12/7/19 22:10,42,39,42,39,64.2,45.6,34.3,82.2,92,81.4,41.2,80.4,168.6,44,80.7,62.6,181.9
12/7/19 22:25,42,39,42,39,63.2,36.9,32.9,95.7,73.6,77.7,41.7,72.6,162,37.8,73.9,54.8,170.1
12/7/19 22:40,42,39,42,39,63.8,33.6,34.6,89.7,45,62.6,39.1,71.4,157.6,38.2,53,42.2,157.2
12/7/19 22:55,41,40,41,40,56.4,34.3,35.1,121.7,26.2,49.7,38.1,70.3,148.8,41.7,48.5,34.9,151.8
12/7/19 23:10,41,40,41,40,53.8,37.2,33.2,113.9,19.2,49.2,35.4,66.3,102.7,39.9,53.9,34.1,149.3
12/7/19 23:25,41,40,41,40,55,36.1,28.9,71.4,17.8,45.1,39.5,60.4,86.7,51,48.1,34.1,139.4
12/7/19 23:40,41,40,41,40,56.8,34.3,25.9,65.8,18.6,44.6,39,58.2,91.7,48.2,40.9,33.8,125.9
